date,ts,wp,hi,lo,open
2017-12-13,1513123200.0,17140.075189416642,17900.0,15700.0,17730.12
2016-09-08,1473292800.0,623.1183698676818,631.3,613.43,615.22
2016-07-19,1468886400.0,673.3944938334047,676.87,666.17,675.51
2017-10-17,1508198400.0,5632.885699151884,5769.99,5525.0,5754.9
2015-04-18,1429315200.0,223.39817036743722,224.04,222.18,223.55
2017-10-30,1509321600.0,6122.743243066308,6200.0,6028.0,6140.01
2015-12-18,1450396800.0,459.18710576311054,465.1,453.28,455.5
2016-10-20,1476921600.0,628.5701056535701,629.99,626.01,629.79
2015-07-31,1438300800.0,285.74902745453505,290.0,282.79,288.49
2016-01-12,1452556800.0,447.1068694546107,449.44,431.83,449.26
2016-04-26,1461628800.0,468.39338002761843,472.11,464.01,466.17
2015-09-02,1441152000.0,228.62201910529183,231.43,226.43,228.22
2015-11-01,1446336000.0,319.4220301748889,332.0,311.44,314.84
2016-02-11,1455148800.0,375.4212066811394,379.5,361.1,378.49
2015-10-19,1445212800.0,265.1727169659447,268.23,262.05,265.0
2017-12-24,1514073600.0,14165.753844362487,15109.27,13210.0,15075.89
2015-06-26,1435276800.0,241.9702465463402,243.1,239.91,242.46
2015-11-20,1447977600.0,320.40939920606246,327.04,311.23,326.53
2015-08-14,1439510400.0,265.76452767181854,267.98,262.5,264.48
2017-08-25,1503619200.0,4359.660310511186,4453.9,4284.01,4312.03
2017-05-29,1496016000.0,2254.3200442299326,2357.86,2141.12,2237.0
2016-10-31,1477872000.0,699.9951017031533,709.68,681.01,697.39
2017-06-24,1498262400.0,2659.8103222018726,2718.37,2503.05,2690.76
2017-01-27,1485475200.0,920.0198961221595,924.47,911.0,917.02
2017-01-15,1484438400.0,826.2927803469539,835.0,819.0,828.0
2015-10-09,1444348800.0,243.9914878249932,244.88,241.1,242.94
2017-05-13,1494633600.0,1715.782346062985,1792.96,1610.0,1695.56
2017-04-22,1492819200.0,1245.4742928036796,1253.0,1221.51,1249.98
2016-08-14,1471132800.0,578.1924638087561,586.49,565.19,586.45
2016-02-01,1454284800.0,373.15694156420165,379.0,366.26,367.89
2017-01-13,1484265600.0,812.4592439736857,835.01,782.85,812.25
2016-01-16,1452902400.0,371.0825744861741,391.0,350.92,357.59
2015-10-22,1445472000.0,273.12271920691603,280.0,268.75,268.77
2017-08-13,1502582400.0,4041.3845792361117,4200.0,3850.0,3874.0
2017-09-21,1505952000.0,3793.121131162076,3903.57,3571.0,3872.07
2016-11-08,1478563200.0,709.092547891896,716.45,704.16,706.41
2017-06-06,1496707200.0,2834.940406740764,2938.55,2674.69,2698.0
2015-06-29,1435536000.0,253.36328196759695,257.99,249.09,249.11
2017-03-04,1488585600.0,1281.4224182556925,1294.48,1226.41,1293.06
2016-07-23,1469232000.0,658.6633721593751,662.35,653.92,654.7
2016-06-25,1466812800.0,680.882310589347,699.0,650.0,669.98
2016-09-21,1474416000.0,597.8601387323822,605.6,592.63,605.6
2016-04-29,1461888000.0,452.8163156746521,459.44,448.5,451.67
2017-03-18,1489795200.0,1032.3704413945352,1096.0,919.44,1068.78
2016-08-17,1471392000.0,576.5399579248684,581.99,569.67,579.02
2016-07-15,1468540800.0,665.5508461978538,669.98,660.68,661.4
2016-02-08,1454889600.0,376.14733243746554,379.35,370.5,377.47
2015-05-05,1430784000.0,235.91050945899264,240.0,232.0,239.75
2016-04-04,1459728000.0,419.4299084700835,421.0,417.58,420.08
2017-02-16,1487203200.0,1028.437701611875,1041.88,1013.02,1014.58
2017-08-07,1502064000.0,3305.692427335274,3416.0,3190.0,3222.22
2016-10-09,1475971200.0,618.2603240860373,619.59,617.0,619.46
2016-06-08,1465344000.0,579.1506715118406,583.99,572.96,579.72
2016-05-10,1462838400.0,457.62365362516084,465.0,448.2,464.15
2015-10-17,1445040000.0,269.59276911737476,274.81,263.05,263.45
2016-11-16,1479254400.0,722.8520525980131,743.8,710.0,711.92
2016-10-13,1476316800.0,636.6281357555486,639.85,632.0,635.9
2017-09-20,1505865600.0,3941.3143449881863,4044.0,3850.01,3910.11
2015-06-01,1433116800.0,227.4612246350971,230.99,221.58,230.18
2017-06-18,1497744000.0,2566.6895583823593,2670.0,2455.01,2634.94
2017-11-27,1511740800.0,9672.484294905891,9795.0,9401.01,9401.11
2016-01-23,1453507200.0,390.10327708806193,398.72,382.55,382.93
2016-05-28,1464393600.0,495.8786699532148,539.49,470.13,471.21
2015-06-17,1434499200.0,251.6988854079094,259.46,247.0,251.88
2017-01-05,1483574400.0,1055.9577177759083,1175.0,880.0,1131.1
2017-06-23,1498176000.0,2705.653502523127,2743.0,2665.0,2679.93
2017-05-27,1495843200.0,2125.449172258333,2353.35,1913.19,2276.46
2017-11-06,1509926400.0,7240.04201930431,7432.49,6900.73,7391.95
2017-07-12,1499817600.0,2338.4557250149983,2415.0,2250.0,2310.0
2017-08-28,1503878400.0,4311.332953174295,4396.0,4200.0,4343.5
2016-05-24,1464048000.0,446.42842786881073,448.5,440.5,445.56
2017-08-19,1503100800.0,4099.120146907289,4186.1,4000.0,4101.72
2016-06-18,1466208000.0,756.1656172319242,785.15,734.8,752.0
2015-10-30,1446163200.0,326.68244810262496,336.97,315.9,316.07
2015-06-28,1435449600.0,249.98699659093705,251.87,247.51,251.46
2015-08-12,1439337600.0,269.12415028729174,272.4,265.79,271.99
2016-09-17,1474070400.0,607.5720041084704,608.99,604.0,607.95
2017-04-06,1491436800.0,1168.0814162370855,1206.97,1132.98,1132.99
2017-02-05,1486252800.0,1022.7046016929825,1036.3,1003.02,1035.54
2016-04-09,1460160000.0,418.4505492422905,419.79,415.51,419.48
2015-06-09,1433808000.0,229.92786966386808,232.06,228.31,229.1
2017-03-23,1490227200.0,1035.8351523011795,1057.41,1013.0,1038.94
2016-05-19,1463616000.0,450.69543198064673,456.41,435.0,455.56
2017-03-21,1490054400.0,1085.6513169220843,1120.0,1042.68,1046.75
2018-01-04,1515024000.0,14851.4778803757,15400.0,14230.0,15098.23
2016-12-06,1480982400.0,757.5228050558742,761.58,752.0,752.01
2017-01-07,1483747200.0,877.6655166842014,910.0,802.07,895.78
2016-09-07,1473206400.0,613.2205860685144,618.53,609.21,612.99
2016-03-18,1458259200.0,412.9244561749449,418.66,399.21,418.42
2016-10-28,1477612800.0,687.6208483983598,691.19,683.2,691.01
2016-10-22,1477094400.0,639.7695764219711,658.0,629.32,630.67
2016-09-12,1473638400.0,607.1912600033119,609.45,603.0,607.94
2016-03-15,1458000000.0,415.2374086120486,416.94,412.48,415.02
2016-05-11,1462924800.0,455.6982825520346,458.65,452.5,452.77
2015-06-15,1434326400.0,235.80271021060366,238.5,233.6,233.6
2017-02-03,1486080000.0,1014.1289009708264,1024.5,994.34,1008.4
2015-07-08,1436313600.0,269.01015420235456,273.97,264.41,266.18
2015-06-27,1435363200.0,245.8010870994519,252.22,242.6,242.99
2017-04-03,1491177600.0,1142.5153010372912,1168.72,1112.24,1113.23
2017-07-30,1501372800.0,2688.3867050899985,2739.98,2500.0,2700.2
2016-03-05,1457136000.0,398.3705286741732,408.83,381.09,407.38
2017-03-17,1489708800.0,1130.902929205903,1175.11,1065.74,1175.11
